City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Victoria,HK,85.32,light rain,22.2855,114.1577,Mini Hotel Central
6,Sinnamary,GF,87.8,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
7,Uige,AO,80.17,overcast clouds,-7.6087,15.0613,Hotel Catraio
15,Kirakira,SB,77.4,broken clouds,-10.4544,161.9205,SanBiz Lodge
16,Atuona,PF,77.7,clear sky,-9.8,-139.0333,Villa Enata
24,Diego De Almagro,CL,80.98,clear sky,-26.3667,-70.05,hotel luna del desierto
26,Soyo,AO,76.71,overcast clouds,-6.1349,12.3689,Hotel Mpampa
32,Azare,NG,87.94,overcast clouds,11.6765,10.1948,Muk hostel
34,Shenjiamen,CN,75.99,light rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
35,Kavieng,PG,81.5,light rain,-2.5744,150.7967,Nusa Island Retreat
38,Harper,LR,81.16,light rain,4.375,-7.7169,Screensaver
50,Benjamin Constant,BR,78.93,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
53,Cradock,ZA,82.38,broken clouds,-32.1642,25.6192,Die Hoekhuis
54,Hithadhoo,MV,81.82,broken clouds,-0.6,73.0833,Scoop Guest House
58,Sao Filipe,CV,80.24,few clouds,14.8961,-24.4956,Hotel Xaguate
60,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
70,Cabo San Lucas,MX,87.15,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
79,Taft,IR,84.15,few clouds,31.7471,54.2088,بوم گردی حاجی زینل تفت
80,Kapaa,US,75.52,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
81,Paithan,IN,75.47,moderate rain,19.4833,75.3833,Prakash lahase
82,Ingleside,US,84.02,clear sky,27.8778,-97.2117,Quality Inn Ingleside - Corpus Christi
87,Zurrieq,MT,77.97,few clouds,35.8311,14.4742,Ta'Bertu Guest House
95,San Patricio,US,84.06,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
99,Turbat,PK,85.62,scattered clouds,26.0023,63.044,Mubashar Quarters
100,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
107,Namatanai,PG,78.58,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
114,Tezu,IN,75.9,clear sky,27.9167,96.1667,Circuit House
116,Kavaratti,IN,82.51,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
119,Pansemal,IN,76.78,scattered clouds,21.65,74.7,जय अम्बे टी स्टाल निवाली रोड पानसेमल
120,Valence,ES,75.94,broken clouds,39.4697,-0.3774,Only YOU Hotel Valencia
123,Yarmouth,US,80.26,overcast clouds,41.7057,-70.2286,Blue Rock Resort
126,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
128,Laguna,US,82.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
131,Varkkallai,IN,82.18,overcast clouds,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
134,San Quintin,MX,76.73,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
137,Bethel,US,80.2,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
138,Fare,PF,76.73,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
140,Lufilufi,WS,80.24,clear sky,-13.8745,-171.5986,Leuaina Beach Resort and Spa
151,Cienfuegos,CU,88.61,few clouds,22.1461,-80.4356,Casa Claumar B2BPay
157,Bull Savanna,JM,84.04,clear sky,17.8868,-77.5902,Big Red's
159,Lorengau,PG,79.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
162,Butaritari,KI,81.79,light rain,3.0707,172.7902,Isles Sunset Lodge
163,Limbang,MY,82.51,overcast clouds,4.75,115.0,Purnama Hotel
166,Girne,CY,82.35,clear sky,35.3417,33.3167,Lavanta Residence
169,Vanimo,PG,77.74,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
176,Carquefou,FR,77.79,clear sky,47.2982,-1.4902,Best Western Plus Hôtel de la Régate
182,Sinjar,IQ,83.17,clear sky,36.3209,41.8754,زوماني فون 1
191,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
194,Sai Buri,TH,79.39,broken clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
195,Salinopolis,BR,86.63,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
199,Pandegelang,ID,79.47,overcast clouds,-6.31,106.1058,Rizki Hotel & Resto
206,Meulaboh,ID,79.0,overcast clouds,4.1363,96.1285,Kost Pria
207,Guerrero Negro,MX,76.08,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
208,Paris,FR,76.05,clear sky,48.8534,2.3488,Hôtel Britannique - Paris Centre
209,Cockburn Town,TC,82.72,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
211,Coruripe,BR,83.5,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
214,Taganak,PH,82.8,broken clouds,6.0833,118.3,Taganak
215,Progreso,MX,87.12,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
217,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
225,Bintulu,MY,79.75,overcast clouds,3.1667,113.0333,900 Boutique INN
226,Dukuhturi,ID,79.47,broken clouds,-6.9,109.0833,Bani Kardiyan Soimah
227,Saint George,US,79.54,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
229,Morgan City,US,75.2,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
230,Maragogi,BR,83.12,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
231,Ponta Do Sol,PT,75.83,overcast clouds,32.6667,-17.1,Hotel do Campo
240,Fereydun Kenar,IR,75.22,broken clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
243,Caluquembe,AO,89.53,broken clouds,-13.7833,14.6833,Hotel Kalukembe
245,Bakel,SN,88.21,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
255,Oyama,JP,76.03,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
