City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Victoria,HK,22.2855,114.1577,85.32,86,83,17.74,light rain
1,Rikitea,PF,-23.1203,-134.9692,74.07,70,9,23.53,clear sky
2,Busselton,AU,-33.65,115.3333,48.09,76,0,11.88,clear sky
3,Farah,AF,32.5,62.5,79.61,10,0,2.53,clear sky
4,Vilyuysk,RU,63.7553,121.6247,39.72,76,100,3.56,overcast clouds
5,Micheweni,TZ,-4.9667,39.8333,76.69,78,7,10.38,clear sky
6,Sinnamary,GF,5.3833,-52.95,87.8,59,36,11.65,scattered clouds
7,Uige,AO,-7.6087,15.0613,80.17,55,87,4.56,overcast clouds
8,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,56,75,9.22,broken clouds
9,Hobart,AU,-42.8794,147.3294,51.26,70,47,6.91,scattered clouds
10,Emerald,AU,-23.5333,148.1667,57.07,80,0,7.05,clear sky
11,Cape Town,ZA,-33.9258,18.4232,66.11,72,22,4.0,few clouds
12,Tiksi,RU,71.6872,128.8694,36.81,95,100,21.63,light rain
13,Vila Velha,BR,-20.3297,-40.2925,73.35,56,20,18.41,few clouds
14,Tuktoyaktuk,CA,69.4541,-133.0374,32.54,87,100,4.29,light snow
15,Kirakira,SB,-10.4544,161.9205,77.4,86,78,6.06,broken clouds
16,Atuona,PF,-9.8,-139.0333,77.7,73,4,16.91,clear sky
17,Kayes,ML,14.0,-11.0,90.12,54,81,4.23,broken clouds
18,Codrington,AU,-38.2667,141.9667,50.32,92,10,14.88,clear sky
19,Mar Del Plata,AR,-38.0023,-57.5575,51.53,91,100,2.86,moderate rain
20,New Norfolk,AU,-42.7826,147.0587,50.92,70,50,1.01,scattered clouds
21,Bredasdorp,ZA,-34.5322,20.0403,63.28,70,26,15.7,scattered clouds
22,Sri Aman,MY,1.2376,111.4621,74.79,97,98,1.61,light rain
23,Severo-Kurilsk,RU,50.6789,156.125,47.44,91,100,21.5,light rain
24,Diego De Almagro,CL,-26.3667,-70.05,80.98,8,0,8.03,clear sky
25,Ndele,CF,8.4109,20.6473,78.04,87,100,0.94,overcast clouds
26,Soyo,AO,-6.1349,12.3689,76.71,78,96,8.7,overcast clouds
27,Mataura,NZ,-46.1927,168.8643,47.48,94,87,11.9,light rain
28,Ushuaia,AR,-54.8,-68.3,49.66,43,20,16.11,few clouds
29,Kahului,US,20.8947,-156.47,72.97,93,67,9.42,broken clouds
30,Wageningen,NL,51.9667,5.6667,67.24,77,75,10.36,broken clouds
31,Pangnirtung,CA,66.1451,-65.7125,32.99,51,48,5.7,scattered clouds
32,Azare,NG,11.6765,10.1948,87.94,49,92,1.16,overcast clouds
33,Jamestown,US,42.097,-79.2353,63.99,52,75,11.01,broken clouds
34,Shenjiamen,CN,29.9576,122.298,75.99,78,2,7.99,light rain
35,Kavieng,PG,-2.5744,150.7967,81.5,76,100,11.21,light rain
36,Nikolskoye,RU,59.7035,30.7861,46.29,90,99,8.97,overcast clouds
37,Hilo,US,19.7297,-155.09,71.8,86,40,6.91,scattered clouds
38,Harper,LR,4.375,-7.7169,81.16,77,97,8.48,light rain
39,Saldanha,ZA,-33.0117,17.9442,59.65,85,15,6.91,few clouds
40,Hermanus,ZA,-34.4187,19.2345,65.89,80,31,16.31,scattered clouds
41,Punta Arenas,CL,-53.15,-70.9167,50.11,40,20,28.77,few clouds
42,Meadow Lake,US,34.8014,-106.5436,74.73,38,100,7.4,overcast clouds
43,Neryungri,RU,56.6709,124.6491,43.84,78,100,10.04,overcast clouds
44,Thompson,CA,55.7435,-97.8558,55.65,61,100,7.29,overcast clouds
45,Saskylakh,RU,71.9167,114.0833,34.03,98,100,12.03,overcast clouds
46,Castro,BR,-24.7911,-50.0119,68.36,39,32,6.2,scattered clouds
47,San Pedro De Macoris,DO,18.4616,-69.2972,90.21,64,70,9.57,broken clouds
48,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,59,43,8.12,scattered clouds
49,Tuatapere,NZ,-46.1333,167.6833,47.82,79,68,13.78,broken clouds
50,Benjamin Constant,BR,-4.3831,-70.0311,78.93,88,90,6.91,overcast clouds
51,Esperance,AU,-33.8667,121.9,55.69,60,79,14.99,broken clouds
52,Barrow,US,71.2906,-156.7887,23.02,86,90,8.05,overcast clouds
53,Cradock,ZA,-32.1642,25.6192,82.38,15,79,15.21,broken clouds
54,Hithadhoo,MV,-0.6,73.0833,81.82,79,72,18.9,broken clouds
55,Klaksvik,FO,62.2266,-6.589,45.52,81,100,18.41,overcast clouds
56,Statesboro,US,32.4488,-81.7832,73.24,56,1,6.91,clear sky
57,Ariquemes,BR,-9.9133,-63.0408,107.78,20,86,1.14,overcast clouds
58,Sao Filipe,CV,14.8961,-24.4956,80.24,74,21,5.7,few clouds
59,Riyadh,SA,24.6877,46.7219,93.34,12,5,6.6,clear sky
60,Gat,IL,31.61,34.7642,79.48,11,0,11.48,clear sky
61,Whitehorse,CA,60.7161,-135.0538,38.17,81,90,11.5,light rain
62,Albany,US,42.6001,-73.9662,80.85,70,97,1.01,overcast clouds
63,Muravlenko,RU,63.7898,74.523,37.26,97,100,18.43,overcast clouds
64,Mantua,IT,45.1667,10.7833,74.71,60,88,1.99,overcast clouds
65,Sao Francisco Do Sul,BR,-26.2433,-48.6381,68.13,49,66,6.55,broken clouds
66,Iqaluit,CA,63.7506,-68.5145,31.46,76,15,6.49,few clouds
67,Mahebourg,MU,-20.4081,57.7,72.25,77,25,14.9,scattered clouds
68,Nyurba,RU,63.2842,118.3319,39.83,76,100,2.86,overcast clouds
69,Vao,NC,-22.6667,167.4833,66.49,59,2,16.53,clear sky
70,Cabo San Lucas,MX,22.8909,-109.9124,87.15,78,7,2.64,clear sky
71,Cidreira,BR,-30.1811,-50.2056,64.29,68,74,21.32,broken clouds
72,Qaanaaq,GL,77.484,-69.3632,18.7,62,18,5.66,few clouds
73,Jumla,NP,29.2747,82.1838,59.32,94,96,1.01,overcast clouds
74,Port Alfred,ZA,-33.5906,26.891,70.3,56,100,12.82,overcast clouds
75,Northam,GB,51.0333,-4.2167,66.34,92,100,10.22,overcast clouds
76,Dikson,RU,73.5069,80.5464,35.1,63,80,6.33,broken clouds
77,Mokhsogollokh,RU,61.4681,128.9203,42.15,90,100,3.02,overcast clouds
78,Sawtell,AU,-30.3833,153.1,57.22,82,0,6.91,clear sky
79,Taft,IR,31.7471,54.2088,84.15,9,20,0.0,few clouds
80,Kapaa,US,22.0752,-159.319,75.52,80,40,11.5,moderate rain
