City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-09-19 01:41:37,-46.1927,168.8643,50.49,66,100,3.98
1,Port Elizabeth,ZA,2021-09-19 01:41:37,-33.918,25.5701,61.09,77,0,13.8
2,Vaini,TO,2021-09-19 01:41:38,-21.2,-175.2,71.76,94,90,10.36
3,Bluff,NZ,2021-09-19 01:41:38,-46.6,168.3333,50.81,70,100,13.2
4,Tiarei,PF,2021-09-19 01:41:38,-17.5333,-149.3333,80.62,79,81,18.81
5,Phirangipuram,IN,2021-09-19 01:41:39,16.3,80.2667,80.17,70,99,1.36
6,Jamestown,US,2021-09-19 01:37:09,42.097,-79.2353,65.52,88,1,4.61
7,Norman Wells,CA,2021-09-19 01:41:39,65.282,-126.8329,51.84,62,75,13.8
8,Ribeira Grande,PT,2021-09-19 01:41:39,38.5167,-28.7,68.29,68,94,7.63
9,Crixas,BR,2021-09-19 01:41:39,-14.5489,-49.9692,79.72,17,6,5.68
10,Albany,US,2021-09-19 01:41:16,42.6001,-73.9662,69.67,73,53,5.61
11,Rikitea,PF,2021-09-19 01:41:40,-23.1203,-134.9692,72.61,76,18,6.2
12,Georgetown,MY,2021-09-19 01:41:40,5.4112,100.3354,82.33,86,20,5.75
13,Hobart,AU,2021-09-19 01:37:56,-42.8794,147.3294,60.66,55,40,28.77
14,Ajdabiya,LY,2021-09-19 01:41:41,30.7554,20.2263,78.15,37,0,9.46
15,Kapaa,US,2021-09-19 01:41:41,22.0752,-159.319,84.18,67,20,5.01
16,Bae,ID,2021-09-19 01:41:41,-6.7681,110.8617,83.5,61,25,7.58
17,Khajuraho,IN,2021-09-19 01:41:41,24.85,79.9333,77.92,83,6,7.18
18,Ust-Nera,RU,2021-09-19 01:41:42,64.5667,143.2,42.06,91,100,11.81
19,Bredasdorp,ZA,2021-09-19 01:41:42,-34.5322,20.0403,50.29,93,2,6.91
20,Nanortalik,GL,2021-09-19 01:41:42,60.1432,-45.2371,41.22,92,100,10.78
21,Boyolangu,ID,2021-09-19 01:41:43,-8.1181,111.8935,81.19,71,84,10.89
22,East London,ZA,2021-09-19 01:41:43,-33.0153,27.9116,60.57,75,59,22.79
23,Tuktoyaktuk,CA,2021-09-19 01:41:43,69.4541,-133.0374,42.8,100,90,2.3
24,Rafraf,TN,2021-09-19 01:41:43,37.1904,10.1837,75.51,88,0,13.4
25,Provideniya,RU,2021-09-19 01:41:44,64.3833,-173.3,47.66,80,10,6.8
26,Port Alfred,ZA,2021-09-19 01:41:44,-33.5906,26.891,59.99,77,87,30.11
27,Biak,ID,2021-09-19 01:41:45,-0.9131,122.8766,80.56,67,100,6.08
28,Castro,BR,2021-09-19 01:41:45,-24.7911,-50.0119,64.36,86,52,2.48
29,Punta Arenas,CL,2021-09-19 01:37:07,-53.15,-70.9167,39.31,81,0,9.22
30,Bengkulu,ID,2021-09-19 01:40:07,-3.8004,102.2655,79.66,81,56,10.94
31,Kruisfontein,ZA,2021-09-19 01:41:45,-34.0033,24.7314,49.89,80,2,5.23
32,Ushuaia,AR,2021-09-19 01:41:33,-54.8,-68.3,38.86,70,0,3.44
33,Alyangula,AU,2021-09-19 01:41:46,-13.8483,136.4192,84.07,58,75,8.05
34,Poum,NC,2021-09-19 01:41:46,-20.2333,164.0167,71.1,62,0,4.7
35,Acapulco,MX,2021-09-19 01:39:48,16.8634,-99.8901,82.22,78,90,0.0
36,Sioux Lookout,CA,2021-09-19 01:41:46,50.1001,-91.917,62.98,55,20,10.36
37,Hermanus,ZA,2021-09-19 01:41:47,-34.4187,19.2345,50.81,77,3,4.54
38,Bambous Virieux,MU,2021-09-19 01:41:47,-20.3428,57.7575,68.25,94,75,5.75
39,Puerto Ayora,EC,2021-09-19 01:41:47,-0.7393,-90.3518,69.55,92,39,7.0
40,Vila,PT,2021-09-19 01:41:48,42.0304,-8.1588,49.33,90,11,4.32
41,Zhigansk,RU,2021-09-19 01:41:48,66.7697,123.3711,35.78,72,99,12.55
42,Bestobe,KZ,2021-09-19 01:41:48,52.4994,73.0975,45.72,70,100,19.48
43,Qaanaaq,GL,2021-09-19 01:41:48,77.484,-69.3632,13.21,75,100,6.51
44,Ancud,CL,2021-09-19 01:41:49,-41.8697,-73.8203,45.93,83,14,2.66
45,Upernavik,GL,2021-09-19 01:41:49,72.7868,-56.1549,20.75,62,16,5.66
46,Saint-Augustin,CA,2021-09-19 01:41:49,51.226,-58.6502,55.42,73,100,7.9
47,Avarua,CK,2021-09-19 01:41:50,-21.2078,-159.775,78.85,65,8,16.11
48,Thongwa,MM,2021-09-19 01:41:50,16.7619,96.5278,78.96,81,100,3.31
49,Tasiilaq,GL,2021-09-19 01:41:50,65.6145,-37.6368,37.56,66,100,5.17
50,Bilma,NE,2021-09-19 01:41:51,18.6853,12.9164,85.6,17,74,7.85
51,Mahebourg,MU,2021-09-19 01:41:51,-20.4081,57.7,68.29,94,75,5.75
52,Saint-Philippe,RE,2021-09-19 01:41:51,-21.3585,55.7679,69.35,76,99,16.84
53,Lagoa,PT,2021-09-19 01:41:52,39.05,-27.9833,66.58,65,53,10.83
54,Liverpool,GB,2021-09-19 01:41:52,53.4106,-2.9779,64.69,85,40,1.99
55,Pisco,PE,2021-09-19 01:41:52,-13.7,-76.2167,60.85,82,90,13.8
56,Polonnaruwa,LK,2021-09-19 01:41:52,7.9333,81.0,79.57,80,76,2.86
57,Komsomolskiy,UZ,2021-09-19 01:41:53,40.4272,71.7189,66.92,32,0,11.5
58,Cape Town,ZA,2021-09-19 01:39:04,-33.9258,18.4232,58.87,78,40,7.0
59,Canutama,BR,2021-09-19 01:41:53,-6.5339,-64.3831,73.56,94,78,1.43
60,Coquimbo,CL,2021-09-19 01:41:54,-29.9533,-71.3436,53.33,87,0,3.44
61,Busselton,AU,2021-09-19 01:41:54,-33.65,115.3333,57.09,82,54,12.3
62,Lixourion,GR,2021-09-19 01:41:54,38.2019,20.4314,75.6,77,4,6.64
63,Ushtobe,KZ,2021-09-19 01:41:55,45.2514,77.9838,69.03,13,25,3.02
64,Beloha,MG,2021-09-19 01:41:55,-25.1667,45.05,61.5,63,99,7.14
65,Quatre Cocos,MU,2021-09-19 01:41:55,-20.2078,57.7625,68.11,83,55,7.09
66,Verkhovazhye,RU,2021-09-19 01:41:56,60.7472,42.0465,30.52,97,10,4.47
67,Paamiut,GL,2021-09-19 01:41:56,61.994,-49.6678,36.72,80,100,8.41
68,Hilo,US,2021-09-19 01:40:56,19.7297,-155.09,80.28,66,22,7.2
69,Sitka,US,2021-09-19 01:37:14,57.0531,-135.33,53.49,82,90,0.0
70,Mocuba,MZ,2021-09-19 01:41:56,-16.8392,36.9856,67.73,79,80,5.14
71,Deputatskiy,RU,2021-09-19 01:41:57,69.3,139.9,24.64,96,100,18.54
72,Port Blair,IN,2021-09-19 01:41:57,11.6667,92.75,82.54,76,48,5.53
73,Plettenberg Bay,ZA,2021-09-19 01:41:57,-34.0527,23.3716,57.6,60,0,5.03
74,Shubarkuduk,KZ,2021-09-19 01:41:58,49.1447,56.4872,38.34,62,44,6.24
75,Adrar,MR,2021-09-19 01:41:58,20.5022,-10.0711,84.9,31,69,13.76
76,Acajutla,SV,2021-09-19 01:41:58,13.5928,-89.8275,80.22,83,62,3.51
77,Aklavik,CA,2021-09-19 01:41:59,68.2191,-135.0107,45.32,78,100,5.46
78,Ilo,PE,2021-09-19 01:41:59,-17.6394,-71.3375,59.99,82,65,3.09
79,Sao Filipe,CV,2021-09-19 01:41:59,14.8961,-24.4956,78.98,82,75,5.21
80,Saldanha,ZA,2021-09-19 01:42:00,-33.0117,17.9442,57.25,89,100,20.85
